nomeEmpresa;nomePregao;titulo;texto;polaridade
UNIDAS S.A.;UNIDAS;nova gestao unidas nao deve pressionar acoes localiz; competitividade mercado brasileiro aluguel veiculos deve preocupar executivos localiza rent neste ano apos companhias gavea vinci kinea terem adquirido unidas segunda maior companhia aluguel veiculos pais ainda assim analista renato mimica btg pactual reitera compra papeis localiza ver companhia bem posicionada sustentar crescimento retornos curto medio prazo mimica admite unidas tende recuperar market share perdido ultimos dois anos passou prejudicar case investimentos localiza acrescenta entretanto curto prazo efeitos gerados concorrente serao pouco perceptiveis acreditamos perspectiva geral localiza continua positiva ja investidores unidas tendem focar primeira principalmente reestruturacao folha pagamentos mudancas administrativas onde dirigir estrategia companhia passos consomem tempo diz analista relatorio mercado fragmentado aluguel veiculos traz boas oportunidades localiza possui cerca market share receitas brutas aluguel veiculos contra unidas mercado players pequenos pouco competitivos ha espaco ambas companhias aumentarem fatia participacao porem ganhos escala privilegiam localiza afirma mimica enquanto curto prazo traz poucos temores analista principal questao longo prazo diz sera estrategia adotada unidas empresa pode tanto replicar politica agressiva localiza expansao aluguel automoveis quanto escolher atuar apenas nicho mercado drivers curto prazo boas perspectivas btg pactual serao confirmadas balanco segundo trimestre companhia ser reportado julho apesar competidores duros empresa tende trazer taxas crescimento superiores vistas periodo anterior segundo banco menores temores acerca inflacao tambem tendem favorecer acao curto prazo projecoes crescimento precos benignas investidores podem voltar abrir posicoes papeis relacionados consum; +
UNIPAR PARTICIPACOES S.A.;UNIPAR;unipar anuncia compra restante carbocloro r m; unipar anunciou compra restantes carbocloro milhoes reais informou empresa fato relevante nesta sextafeira participacao sera adquirida subsidiaria occidental petroleum corporation compartilhava controle carbocloro unipar conclusao transacao ser feita meio subsidiaria unipar sujeita aprovacao conselho administrativo defesa economica cade obter recursos necessarios compra unipar contratou bancos itau bba bradesco bbi atuarem duas emissoes titulos notas promissorias outra debentures valor total aquisicao nao especificado montante sera atribuido cada emissao carbocloro produtora clorosoda fornece materiaprima diversos segmentos industria brasileira saboes detergentes remedios plasticos comestiveis tecidos muitos outros segundo website nacionalmente empresa capacidade instalada mil toneladas anuais cloro mil toneladas soda caust; +
UNIVERCIDADE TRUST DE RECEBIVEIS S.A.;UNIVERCIDADE; instituicoes fazem proposta alunos gama filho univerc; ministerio educacao mec informou seis instituicoes educacao superior rio janeiro apresentaram propostas receber alunos universidade gama filho centro universitario cidade univercidade descredenciadas instituicoes interessadas transferencia assistida estudantes sao faculdade medicina campos fmc faculdade tecnologia senac rio fatec universidade grande rio professor jose souza herdy unigranri universidade estacio sa unesa universidade veiga almeida uva centro ensino superior valenca instituicoes devem contemplar todos agrupamentos cursos definidos editais definem termos transferencia assistida acordo mec secretaria educacao superior ja verificando cumprimento itens relativos habilitacao instituicoes resultados deverao ser publicados diario oficial uniao ate dia marco curso medicina gama filho ate marco dia janeiro deste ano mec anunciou descredenciamento gama filho univercidade segundo pasta motivos baixa qualidade academica grave comprometimento situacao economicofinanceira mantenedora falta plano viavel superar problema alem crescente precarizacao oferta educacao superior problemas envolveram gama filho univercidade comecaram mec instaurou processo supervisao partir denuncias irregularidades deficiencias academicas insuficiencia financeira relacionadas inicio gestao grupo galileo inicio processo curso surgimento novos controladores grupo galileo crise instituicoes agravou deflagracao greve professores funcionarios estudantes falta pagamento salarios precarizacao condicoes oferta ambas instituico; -
PETROLEO BRASILEIRO S.A. PETROBRAS;PETROBRAS;petrobras sobe bovespa fecha alta ; principal indice bovespa fechou alta voltou maior nivel desde fevereiro ano passado nesta segundafeira valorizacao impulsionada acoes petrobras subiram bolsa brasileira tambem seguiu movimento pregoes exterior influenciada expectativas estimulos europa noticias fusoes aquisicoes estados unidos ibovespa subiu pontos maior patamar desde fevereiro melhor momento dia indice renovou maxima intradia ano bater pontoso volume financeiro pregao somou r bilhoes pouco abaixo media diaria mes quase r bilhoesapos duas quedas seguidas acoes petrobras alta aparecendo maiores altas ibovespano exterior influencia noticias fusoes aquisicoes eua discurso presidente banco central europeu bce mario draghi sextafeira trouxe expectativas novas medidas estimulo regiao acoes oi recuaram reletorio contratado portugal telecom empresa processo fusao sugere acionistas aprovem negocio oi segundo documento reuters acesso sextafeira jbs perdas reportagem carta capital fim semana afimou empresa assinou acordo redzir fatia bertin grupo acordo revista negocio suspeito prejudica minoritarios jbs disse reuters nao comentaria assuntoem outra frente cargill abriu processo contra antigo empregado acusandoo roubar informacoes secretas antes trabalhar rival jbsas acoes vale tambem queda dia reducao precos minerio chin;+
PETROLEO BRASILEIRO S.A. PETROBRAS;PETROBRAS;maiores dividas financeiras sao petrobras val;diz economaticaa divida financeira empresas capital aberto empresas formadas acoes sao negociadas mercado financeiro ultrapassou barreira r trilhao segundo trimestre consecutivo segundo dados divulgados nesta quintafeira consultoria economatica petrobras empresa maior divida r bilhoes segunda maior divida vale r bilhoes veja resultado empresas abaixo primeiro trimestre divida total empresas capital aberto brasil somava r trilhao segundo trimestre valor passou r trilhaoo setor petroleo gas concentra total valor r bilhoes dividas seis empresas segundo setor maior proporcao dividas energia empresas devendo todo r bilhoes total terceiro lista setor alimentos bebidas r bilhoes dividas empresas representando total empresas somadas dez maiores dividas empresas avaliadas economatica representam metade valor total juntas dez empresas devem r bilhoes petrobras vale empresa maior divida oi r bilhoes total seguida vem eletrobras r bilhoes total div;-
PETROLEO BRASILEIRO S.A. PETROBRAS;PETROBRAS;producao petroleo gas natural bate recorde diz anp; agencia nacional petroleo anp informou nesta tercafeira producao total petroleo gas natural brasil mes julho atingiu milhoes barris oleo equivalente boe dia sendo milhoes barris diarios petroleo milhoes metros cubicos gas natural segundo anp volume maior ja registrado superando mes anterior producao petroleo gas natural totalizou milhoes barris oleo equivalente dia ainda acordo boletim producao anp resultado puxado producao petroleo tambem superou marca alcancada mes anterior milhoes barris diaem relacao junho aumento producao petroleo ja comparacao julho alta ja producao gas natural julho superou mes anterior milhoes metros cubicos dia julho torno producao petroleo gas natural provenientes campos operados petrobras aproximadamente producao petroleo producao gas natural brasil extraidos campos maritimos assim ocorreu junho campo roncador bacia campos maior producao petroleo media mil barris dia maior produtor gas natural campo mexilhao bacia santos media diaria milhoes metros cubicos presal segundo dados anp producao presal diminuiu julho relacao mes anterior totalizando mil barris oleo equivalente dia sendo mil barris diarios petroleo milhoes metros cubicos gas natural dia producao origem pocos localizados campos baleia azul baleia franca jubarte barracuda caratinga buzios linguado lula marlim leste pampo sapinhoa trilha areas iara entorno i;+
PETROLEO BRASILEIRO S.A. PETROBRAS;PETROBRAS;bovespa opera alta banco brasil petrobr; bolsa valores sao paulo bovespa opera alta nesta quartafeira ganhos acoes banco brasil petrobras h ibovespa principal indicador bolsa paulista subia pontos acoes banco brasil lideravam alta acoes ibovespa ganho ja papeis petrobras grande peso sobre indicador subiam cerca tercafeira bovespa fechou queda pontos apos forte oscilacao longo prega;+
PETROLEO BRASILEIRO S.A. PETROBRAS;PETROBRAS;petrobras vai pagar us milhoes boliviana ypfb acerto cont; petroleira estatal boliviana yacimientos petroliferos fiscales bolivianos ypfb recebera us milhoes petrobras acerto contas duas estatais solucionar divergencias sobre contrato importacao gas natural boliviano mercado brasileiro petrobras disse acerto contas pagamentos compensacoes parte parte tera impacto negativo cerca us milhoes resultado terceiro trimestre efeito positivo us milhoes resultado ano segundo estatal brasileira fechado tambem acordo garante fornecimento gas natural viabilizar operacao termeletrica cuiaba ate dezembro atualmente ypfb envia milhoes metros cubicosdia cuiaba base contrato expira agosto acordo agencia estatal boliviana informacao presidente bolivia evo morales disse apos fechamento tres novos acordos tarefa curto medio prazo inicio negociacoes atualizar contrato compra venda gas natural define maximo envio milhoes metros cubico dia gas brasil ate assinatura contratos realizada cidade santa cruz presidente ypfb carlos villegas diretor gas energia petrobras jose alcides santoro brasil maior comprador gas natural boliviano passado gerou fortes disputas durante negociacoes contratos compra venda hidrocarbonetos outro acordo assinado nesta segundafeira define novo ponto entrega gas natural boliviano reducao poder calorifico expandir opcoes entrega investimento extracao gas liquefeit;+
BCO BRASIL S.A.;BRASIL;caixas eletronicos sao arrombados senhora lourd; caso arrombamento caixas eletronicos registrado interior estado madrugada desta quartafeira alvo agencia banco brasil cidade senhora lourdes sertao estado segundo delegado jonatas evangelista cinco homens armados invadiram agencia volta h usaram explosivos destruiram dois caixas valor levado nao informado caso arrombamento agencia bancaria registrado sergip;-
BCO BRASIL S.A.;BRASIL;seis pessoas sao presas flagrante assalto banco jaboata;peuma agencia banco brasil assaltada nesta segundafeira acordo policia militar unidade fica localizada estrada batalha bairro prazeres jaboatao guararapes regiao metropolitana recife seis pessoas presas suspeitas participar acao momento assalto carro policia passando rua seis pessoas detidas flagrante malote recuperado tres armas apreendidas alem carro utilizado grupo dois homens suspeitos envolvimento crime conseguiram fugir moto seis presos encaminhados departamento repressao crimes patrimoniais depatri bairro afogados zona sul recife assessoria imprensa banco brasil pernambuco informou nao autorizada dar informacoes sobre cas;-
BCO BRASIL S.A.;BRASIL;cofre agencia banco brasil arrombado macarico mair; agencia banco brasil localizada municipio mairi quilometros salvador invadidada assaltantes madrugada desta tercafeira acordo agentes delegacia local crime aconteceu volta h sendo acao criminosos so percebida inicio manha apos chegada funcionarios conforme policia ainda informacoes sobre quantidade pessoas envolvidas crime assaltantes entraram unidade bancaria apos terem destruido vidros janela fica fundos agencia dentro unidade policia relata assaltantes conseguiram arrombar cofre macarico ainda nao ha informacoes sobre quantia levada suspeitos informacoes iniciais apontam assaltantes conseguiram desligar sistema alarme area externa tambem cameras seguranca conforme policia testemunhas contaram viram tres carros suspeitos circularem regiao pouco antes crime ninguem preso ate inicio noite desta terca ;-
BCO BRASIL S.A.;BRASIL;banco brasil lucro r bilhoes trimestr; banco brasil anunciou nesta quintafeira lucro liquido r bilhoes reais segundo trimestre ante r bilhoes ano antes queda primeiro semestre deste ano instituicao registrou lucro liquido r bilhoes atingir r bilhoes periodo ano anterior resultado obtido primeiro semestre impulsionado principalmente expansao negocios ativos bens totais banco brasil atingiram r trilhao junho expansao meses captacoes comerciais banco brasil alcancaram r bilhoes junho alta meses carteira credito ampliada banco brasil atingiu r bilhoes junho alta meses carteira credito classificada alcancou r bilhoes junho avanco mesma comparacao carteira credito ampliada pessoa fisica encerrou junho r bilhoes aumento sobre mes ano passado respondendo total carteira destaque financiamento imobiliario dia julho bradesco abriu temporada balancos instituicoes financeiras anunciou ter registrado lucro liquido contabil r bilhoes segundo trimestre resultado superior verificado tres primeiros meses ano maior comparacao segundo trimestre lucro bradesco maior historia banco segundo trimestre acordo levantamento consultoria economatica dia santander brasil anunciou lucro liquido r milhoes segundo trimestre primeiros tres meses ano valor havia sido r milhoes sequencia itau unibanco anunciou lucro liquido r bilhoes primeiro semestre acima r bilhoes registrados segundo semestre ano anterior acordo consultoria economatica lucro itau seis primeiros meses deste ano maior historia banco considerando periodo lider bancos banco brasil primeiro semestre alcancou lucro r bilhoes segundo trimestre lucro instituicao chegou r bilhoes acima r bilhoes registrados tres primeiros meses an;+
BCO BRASIL S.A.;BRASIL;stj manda banco brasil pagar clientes perdas plano vera; segunda secao superior tribunal justica stj decidiu nesta quartafeira banco brasil deve pagar clientes todo pais diferenca referente perda gerada cadernetas poupanca causa plano verao janeiro nota banco informou decisao nao efeitos imediatos vai recorrer decisao tribunal analisava recurso banco sobre decisao justica data vara civel brasilia havia julgado acao civil publica ajuizada instituto brasileiro defesa consumidor idec naquele ano vara ja havia condenado banco pagar chamados expurgos inflacionarios ocorrem indices inflacionarios nao sao aplicados poupanca geram perda rendimento valores depositados banco brasil recorreu stj alegando sentenca deveria ter validade apenas contas poupancas abertas distrito federal somente poupadores associados idec autor acao legitimidade buscar cumprimento sentenca visao relator recurso stj ministro luis felipe salomao julgamento anterior havia definido decisao deveria contemplar todos poupadores mantinham conta banco brasil janeiro nao apenas residiam distrito federal vinculados idec voto relator seguido demais minitros assessoria imprensa banco brasil informou meio nota instituicao entrara recursos cabiveis contra decisao apos publicacao acordao decisao nao surtira efeitos imediatos pois devese aguardar publicacao acordao sobre bb interpora recursos cabiveis obter pronunciamento definitivo supremo tribunal federal diz nota stj nao informou valor banco tera pagar caso determinacao justica volte ser confirmada criado tentativa conter hiperinflacao plano verao assim outros criados inicio decada alteraram calculo correcao monetaria saldos poupanca quase mil processos sobre planos economicos estao tramitacao suspensa diversos tribunais desde espera decisao stf autores acoes argumentam perdas querem receber valores corrigidos base inflacao stf julgamento desta quarta stj diferente julgamento supremo tribunal federal stf suprema corte vai definir sobre validade planos economicos correcao monetaria valores cadernetas ocorreu dentro legalidade julgamento realizado fim marco adiado ainda nao ha nova data tribunal entender percentual utilizado planos correto muitos poupadores nao terao direito receber nada nesse caso stf podera avaliar fazer ja recebeu dinheiro bancos decisao outros tribunais hipotese supremo considerar indice utilizado irregular devera estipular sera feito pagamento correcao saldos poupanc;-
OI S.A.;OI;oi pode perder grau investimento sp apos fusa; standard poors colocou nota credito bbb escala global oi observacao negativa apos anuncio fusao portugal telecom pratica quer dizer nota revisao possivel rebaixamento caso corte rating confirme oi perderia grau investimento atribuido agencia classificacao risco passaria ser considerada nivel especulativo pode implicar juros maiores emissoes divida base avaliacoes preliminares duas empresas combinadas devem demorar mostrar medidas protecao credito fortes esperavamos perspectiva estavel oi disseram analistas sp not;-
OI S.A.;OI;oi multada r ; milhoes monitorar clientes interneta oi multada ministerio justica r milhoes ter infringido normas defesa consumidor monitorar comportamento clientes internet vender informacoes anunciantes agencias publicidade portais web decisao publicada nesta quartafeira diario oficial uniaoas investigacoes conduta operadora feitas departamento protecao defesa consumidor dpdc secretaria nacional consumidor vinculada mj pasta constatou velox servico banda larga oi violou direitos informacao privacidade consumidor alem fazer publicidade enganosa apuracao comecou apos dpdc ter sido informado oi fez parceria phorm criou software navegador programa usado rastrear passos consumidor internet oi afirma nao usa ferramenta desde marco encerrou teste produto junto grupo clientes convidados empresa informa ainda ter conviccao nao qualquer infracao direito consumidor deve recorrer dpdc informa dados clientes sao utilizados compor perfil detalhado cada cliente dossies sao vendidos outras empresas queiram enviar anuncios pessoas base forma agem rede segundo dpdc empresa nao informou ferramenta fazia mapeamento consequencias privacidade clientes venderia informacoes consumidores terceiros autorizacao acordo mj empresa violou tambem principios comite gestor internet brasil cgibr neutralidade rede nao discriminacao pacotes internet padronizacao interoperabilidade porque software navegador redireciona trafego rede alem filtrar dados consumidor chegar valor r milhoes tnl pcs sa oi dpdc considerou vantagem financeira obtida violacao consumidores porte companhia nivel conduta irregular valor multa sera depositado fundo defesa direitos difusos fdd reverte recursos acoes defesa consumidores defesa meio ambiente patrimonio publico eja nota completa oi companhia informa nao usa ferramenta phorm questionada processo citado esclarece desde marco encerradas todas iniciativas operacionais desta ferramenta junto oi uso restrito grupo clientes convidados testar produto companhia acrescenta ainda phorm encerrou atividades brasil conforme publicado relatorio anual oi reafirma conviccao nao qualquer infracao direito consumidor apesar nao ter tido ainda acesso fundamentacao decisao considera fortes elementos recorr;-
OI S.A.;OI;grupo bancos fara nova oferta acoes oi garantia compr; grupo bancos liderado btg fara nova oferta acoes operadora telefonia oi garantia compra noticia sobre negocio publicada jornal folha s paulo confimada assessoria imprensa itau bba faz parte grupo nesta sextafeira nao confirmado valor total emissao participacao cada banco participante consorcio segundo itau nova oferta acoes sera levada mercado bancos busca compradores exterior negocio objetivo levantar recursos empresa precisa reduzir proporcao divida liquida relacao lucro ebitda antes juros impostos depreciacao amortizacao modelo negocio preve bancos nao encontrarem compradores acoes ofertadas vao comprar papeis nao vendidos consorcio bancos ira vender eventualmente comprar novas acoes emitidas oi sera liderado btg pactual tera maiores cotas acoes juntamente conjunto bancos itau ficara cotas menores juntamente outro grupo bancos fusao portugal telecom oi assinou acordo fusao portugal telecom outubro ano passado negocio ira criar operadora multinacional operacoes envolvendo populacao milhoes pessoas milhoes clienteso acordo aconteceu pouco tempo oi ter feito grande corte politica dividendos pressionada divida liquida quase r bilhoes necessidade acelerar investimentos pais acordo reuters epoca fusao empresas afirmaram mantidas marcas comerciais operacoes oi portugal telecom respectivas regioes atuacao controle gestao unica comum corpco btg pactual disse nao ira comentar informaco;+
OI S.A.;OI;juros dolar operam baix;ibovespa destoa sobe oipreocupacao quadro fiscal americano noticia fusao oi portugal telecom guiavam parte negocios nesta tarde mercado financeiro brasileiro juros futuros operavam baixa alinhados movimento cambio titulos tesouro americano dolar cedia relacao real colocando moeda brasileira topo lista divisas melhor desempenho bolsa paulista ibovespa comecou dia territorio negativo mudou direcao forca acoes oi exterior wall street registrava perda junto juros titulos tesouro americano dolar pressionados fracos numeros emprego estados unidos receio ante falta acordo fiscal washington dow jones cedia nasdaq recuava sp baixa bovespa contramao exterior h ibovespa alta pontos papeis oi reagiam noticia oi portugal telecom assinaram memorando unir operacoes acoes on avancavam pn elevacao bmf deposito interfinanceiro di janeiro taxa ajuste ontem di janeiro registrava lado cambio dolar comercial caia r dolar novembro recuava r ;+
OI S.A.;OI;oi fecha venda torres telecomunicacoes r bilha; oi informou nesta quartafeira controladas telemar norte leste brt servicos internet fecharam acordo sba torres brasil transferencia torres telecomunicacoes us bilhao segundo companhia montante devera ser recebido dezembro deste ano data prevista fechamento negocio comunicado oi afirmou operacao reforca melhora flexibilidade financeira companhia permitindo aumentar vencimentos maturidades divida reduzir custo associado financiamento fortalecer posicao liquidez oi adicionalmente transacao aporta beneficio transferencia compradora responsabilidade custos investimentos operacao manutencao ampliacao torres tempo assegura continuidade prestacao servico movel pessoal smp medida tambem compreende locacao espaco nestas torres meio contrato longo prazo bem estabelece condicoes ampliacao espaco alugado diz text;+
ABRIL EDUCACAO S.A.;ABRIL EDUCA;abril educacao elege presidente conselho simplifica com;abril educacao divulgou nesta segundafeira serie mudancas estrutura organizacional eleicao giancarlo civita presidente conselho ocupando cargo vago desde falecimento pai roberto civita junhoo diretorpresidente abril educacao manoel amorim nomeado vicepresidente conselho executivo tambem assumira interinamente posto diretor financeiro relacoes investidores apos renuncia fabio carvalho segundo comunicado abril educacao carvalho deixa companhia nesta segundafeira assumir outras responsabilidades companhia outra industriasem revelar detalhes abril educacao afirmou novo profissional ja contratado substituir carvalho definitivamente partir agosto empresa tambem revelou serie outras mudancas linha comando enxugando cinco numero unidades passarao reportar diretamente presidenteexecutivo grupopara tanto criadas duas novas vicepresidencias duas novas unidades negocios apenas diretoria financeira ja respondia diretamente presidenteexecutivo continuara fazelo h units abril educacao exibiam alta r baixo volume negocios horario ibovespa principal indice bolsa valores sao paulo bovespa operava oscilacao negativa simplificacaoa vicepresidencia produtos servicos pedagogicos englobara tanto unidades sistemas ensino editoras produtos complementares diretorias vendas governos marketingo objetivo disse empresa reforcar foco cliente nao exclusivamente produto comando vicepresidencia ficara cargo mario ghio junioratual diretor geral sistemas ensinopublicidadevera balhestero diretora geral editoras atica scipione ficara frente nova vicepresidencia operacoes servicos integracao unidade sera composta areas tecnologia informacao tecnologia educacao servicos compartilhados logistica operacoes recursos humanoscompletam time negocios imediatamente abaixo presidenteexecutivo unidade escolas cursos preparatorios comandada joao almeida silva unidade ensino idiomas dia agosto julio angeli assumiu presidencia grupo ometz dono marca wise up comprada abril educacao r milhoes fevereiro segundo abril educacao mudancas realizadas promover maior integracao controle captura sinergias diversas unidades negocio simplificando processos gestaocortesa editora abril anunciou ultima quintafeira extincao revistas alfa bravo gloss lola alem portal club alfa acordo empresa cerca profissionais diversas areas deixam empresa funcao reestruturacaoa editora afirmou quatro publicacoes representavam menos receita publicidade revistas abril edicao agosto revistas circula todo pais partir proxima semana ultima cada tituloalem disso abril anunciou mudancas estruturas editorial comercial unidades negocios abril segmentadas veja exame negocios digitais principais mudancas frente comercial descentralizacao diretoria publicidade centralizada passara ser distribuida cada uns unidades negociosa abril encara fase parte evolucao natural negocios segue missao difundir informacao excelencia editorial pioneirismo integridade afirmou nota presidente abril sa fabio colletti barb;+
AGRENCO LTD.;AGRENCO;pf prende executivos agrenco desvio recurs; policia federal prendeu hoje dois funcionarios agrenco acusados desvio recursos empresa segundo informacoes superintendente policia federal pf santa catarina marcos moura acao pf faz parte operacao influenza deflagrada hoje sao paulo santa catarina acordo moura antonio augusto pires junior antonio iafelice presos sob acusacao terem maquiado balancos financeiros companhia fim esconder desvios recursos beneficio proprio acordo informacoes pagina agrenco internet iafelice diretorpresidente empresa pires junior diretor operacoes alem executivos outras pessoas detidas envolvimento operacao incluindo delegado municipio itajai jackson aluir corbari acusacoes pesam sobre envolvidos esquema superintendente pf citou crimes sonegacao fiscal lavagem dinheiro formacao quadrilha falsidade ideologica remessa ilegal dinheiro exterior corrupcao ativa passiva moura informou ainda operacao busca sendo feita nesta tarde sede agrenco sao paulo apreensao documentos agrenco atua trading opera porto itajai agrenco ltd companhia servicos integrados atua setores agronegocio biocombustivel ambito mundial presente toda cadeia valor agronegocio compra producao prestacao assistencia tecnica financeira produtores originacao armazenamento transporte produtos agricolas logistica venda distribuicao destes produtos consumidores finais todo mundo distribuicao operacao influenza deflagrada desvendar organizacao criminosa internava divisas efetuava operacoes cambiais ilegais movimentacoes meio laranjas ocultava bens rendas simulava operacoes uso documentos falsos fraudes licitacoes agrenco deve manifestar sobre operacao meio assessoria imprensa ate final dia apos noticia bovespa suspendeu negocios bdrs recibos acoes negociados brasil agrenco aguardo esclarecimentos ate suspensao bdrs despencavam ;-
ALPARGATAS S.A.;ALPARGATAS;alpargatas renova contrato mizun; alpargatas antecipou renovacao contrato distribuir marca japonesa mizuno brasil alguns paises america latina acordo expirava renovado nesta quintafeira valera anos possibilidade extensao outros realizacao copa olimpiada brasil motivou empresa antecipar negociacao poderemos investir marcas durante grandes eventos esportivos agora sabemos contratos continuarao valer apos disse diretor artigos esportivos alpargatas fernando beer alpargatas comecou distribuir marca mizuno brasil desde entao renovou contrato tres vezes empresa paga royalties fabricante japonesa detalhes financeiros nao sao abertos maioria produtos vendidos brasil importada alpargatas entanto pretende aumentar participacao calcado feito pais precisamos ampliar producao local suportar crescimento mercado brasileiro disse beer hoje marca lider pais segmento tenis alta performance corrida faz brasil segundo maior mercado mizuno atras japao contrato empresa japonesa permite alpargatas represente marca brasil argentina uruguai paraguai chile hoje empresa vende grife japonesa apenas brasil argentina intencao expandir novos mercados avaliando disse beer estrategia parceria mizuno estrategica alpargatas grupo tambem dono marcas havaianas rainha topper vendas mizuno quadruplicaram ultimos cinco anos fizeram japonesa marca cresce grupo brasileiro so terceiro trimestre receita alpargatas produtos mizuno subiu comparacao periodo ano anterior segundo dados balanco companhia empresa nao abre dados faturamento marca estimase mizuno concentre metade receita alpargatas artigos esportivos montante somou cerca r milhoes nove primeiros meses segmento vem ganhando relevancia grupo ja representava receita companhia terceiro trimestre tres pontos porcentuais acima peso periodo copa olimpiada mercado material esportivo deve crescer ainda durante copa olimpiada estima coordenadora mba marketing esportivo espm clarisse setyon segmento tradicionalmente sofre explosao consumo nesse periodo principalmente paises sediam jogos disse renovacao contrato mizuno fundamental alpargatas competir grandes empresas multinacionais esporte nike adidas barato investir marca ja desejada consumidor criar zero avalia alpargatas quer aproveitar realizacao copa olimpiada brasil elevar vendas mizuno tentar ganhar presenca outros esportes futebol handebol volei empresa prepara reforco estrategia marketing tera driblar barreiras impostas organizadores jogos adidas patrocinadora oficial copa nike selecao brasileira mizuno portanto nao podera fazer mencao direta evento time brasil vamos explorar imagens atletas selecao patrocinamos hulk dede disse beer maior aposta sera olimpiada mizuno tera presenca forte rio completou informacoes sao jornal ;+
ANDRADE GUTIERREZ CONCESSOES S.A.;AGCONCESSOES;aprovado negocio andrade gutierrez camargo corr; conselho administrativo defesa economica cade aprovou restricoes aquisicao andrade gutierrez concessoes acoes representativas holding mcpspe empreendimentos participacoes empresa nao operacional grupo camargo correa segundo despacho publicado diario oficial uniao dou desta quartafeira empresa criada construir instalar futuramente explorar aeroporto privado regiao metropolitana sao paulo grupos andrade gutierrez camargo correa ja atuam setor aeroportuario ja detem participacao acionaria companhia concessoes rodoviarias ccr novembro ano passado consorcio aero brasil formado ccr operadores internacionais flughafen munchen gmbh flughafen zurich ag conjuntamente declarado vencedor leilao concessao ampliacao manutencao exploracao aeroporto internacional tancredo neves confins minas gerais segundo contrato concessao consorcio aero brasil detera participacao acionaria confins cabendo restantes infraero ccr tambem participa operacao aeroportos internacionais costa rica curacao equador holding alvo operacao segundo explicam empresas documento enviado cade tera objeto criacao nova infraestrutura aeroportuaria resultado dessa operacao sera aumento capacidade nesse segmento brasil;+
BICICLETAS MONARK S.A.;BIC MONARK;industria nacional desaparec; elevada carga tributaria cambio valorizado estao acabando industria nacional bicicletas marcas brasileiras famosas caloi monark estao rendendo importacoes pecas equipamentos fazendo brasil apenas trabalho montagem veiculos segundo fontes setor ate bicicletas caloi monark sao hoje made in china brasileiro compra bicicleta quase metade desembolsa vai poder publico forma impostos carga tributos incidente sobre bicicleta nova equivalente preco duas rodas montadas aro cubo raios rolamentos pneus quadro infelizmente industria nacional acabando ja nao fabrica brasil catracas correntes cambios nao compensa porque caro la tecnologia melhor avalia gerente comercial agencia bicicleta andre hain taborda desoneracao tramita camara deputados projeto lei concede isencao imposto sobre produtos industrializados ipi bicicletas pecas vendidas separadamente projeto tambem zera aliquotas contribuicao pispasep cofins incidentes sobre vendas bicicletas autor proposta deputado daniel almeida pcdobba desoneracao vai baixar precos estimular uso bicicletas meio transporte sustentavel meio ambiente saude humana entram equilibrio modal torna viavel afirma proposta tramita carater conclusivo nao requer apreciacao plenario bastando aprovacao comissoes ainda sera analisada comissoes financas tributacao constituicao justica cidadan;-
BROOKFIELD INCORPORACOES S.A.;BROOKFIELD;brookfield faz estreia curitib; condominio residencial update primeiro empreendimento lancado brookfield incorporacoes capital paranaense sera construido bairro portao crescem curitiba alvo outros inumeros lancamentos imobiliarios condominio tera unidades distribuidas sete torres escolhemos portao principalmente possibilidade encontrar terrenos maiores sao metros quadrados perfil empreendimento medio padrao demanda certa regiao afirma superintendente incorporacao unidade sul interior sao paulo andre lucarelli apartamentospadrao dois tres quartos metros quadrados privativos respectivamente ha ainda coberturas area util media metros quadrados apartamentos terreo serao tipo garden area aberta privativa metros quadrados ha opcao duas vagas garagem preco medio metro quadrado area util r mil obras comecam abril prazo conclusao meses endereco empreendimento montados dois apartamentos decorados arquitetas carolina farah viviane cirello plantas apartamentos primam integracao ambientes conforto areas intimas aponta lucarelli projeto seguira conceito condominioclube opcoes lazer academia cinema piscinas coberta descoberta espaco office churrasqueira salao jogos quadra esportes outras acordo lucarelli espacos serao entregues decorados cerca unidades ja vendidas comercializacao feita imobiliarias lopes galvao vend;+
CELULOSE IRANI S.A.;CELUL IRANI;historia contestado campina alegr; funcionarios empresa localizada santa catarina vao ganhar presente diferente data aniversario celulose irani empregados familiares poderao assistir peca teatral contestado amanha ginasio mario casara campina alegria evento tambem sera aberto publico geral entrada gratuita escrita historiador dramaturgo musicista romario borelli decada peca censurada ditadura apos anos remontada universidade oeste santa catarina unioeste palco musicos cantores atores encenam batalhas marcaram discussao estados santa catarina parana governo federal posse regiao contestado disputa aconteceu anos resultou rendicao massacre quase mil sertanej;+
